season,league,file,n_columns,time,avg_h,max_h,b365_h,ps_h,bfe_h,avgc_h,psc_h,avg_o25,b365_o25,p_o25,avgc_o25,ah_line,avg_ahh,avgc_ahh,btts_odds,xg_post_match
1112,E0,ok,71,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1112,E1,ok,71,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1112,SP1,ok,70,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1112,I1,ok,70,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1112,D1,ok,70,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1112,F1,ok,70,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1112,N1,ok,58,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1112,P1,ok,58,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1112,B1,ok,58,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1112,T1,ok,58,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1112,G1,ok,58,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1112,SC0,ok,71,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1112,SP2,ok,58,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1112,I2,ok,58,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1112,D2,ok,58,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1112,F2,ok,58,,BbAvH,BbMxH,B365H,,,,,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,E0,ok,74,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,E1,ok,73,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,SP1,ok,73,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,I1,ok,73,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,D1,ok,73,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,F1,ok,73,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,N1,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,P1,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,B1,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,T1,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,G1,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,SC0,ok,73,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,SP2,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,I2,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,D2,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1213,F2,ok,61,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1314,E0,ok,68,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1314,E1,ok,68,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1314,SP1,ok,67,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
