,time,avg_h,max_h,b365_h,ps_h,bfe_h,avgc_h,psc_h,avg_o25,b365_o25,p_o25,avgc_o25,ah_line,avg_ahh,avgc_ahh
2011/12,0/16,16/16,16/16,16/16,0/16,0/16,0/16,0/16,16/16,0/16,0/16,0/16,16/16,16/16,0/16
2012/13,0/16,16/16,16/16,16/16,16/16,0/16,0/16,16/16,16/16,0/16,0/16,0/16,16/16,16/16,0/16
2013/14,0/16,16/16,16/16,16/16,16/16,0/16,0/16,16/16,16/16,0/16,0/16,0/16,16/16,16/16,0/16
2014/15,0/16,16/16,16/16,16/16,16/16,0/16,0/16,16/16,16/16,0/16,0/16,0/16,16/16,16/16,0/16
2015/16,0/16,16/16,16/16,16/16,16/16,0/16,0/16,16/16,16/16,0/16,0/16,0/16,16/16,16/16,0/16
2016/17,0/16,16/16,16/16,16/16,16/16,0/16,0/16,16/16,16/16,0/16,0/16,0/16,16/16,16/16,0/16
2017/18,0/16,16/16,16/16,16/16,16/16,0/16,0/16,16/16,16/16,0/16,0/16,0/16,16/16,16/16,0/16
2018/19,0/16,16/16,16/16,16/16,16/16,0/16,0/16,16/16,16/16,0/16,0/16,0/16,16/16,16/16,0/16
2019/20,16/16,16/16,16/16,16/16,16/16,0/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16
2020/21,16/16,16/16,16/16,16/16,16/16,0/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16
2021/22,16/16,16/16,16/16,16/16,16/16,0/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16
2022/23,16/16,16/16,16/16,16/16,16/16,0/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16
2023/24,16/16,16/16,16/16,16/16,16/16,0/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16
2024/25,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16
2025/26,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16,16/16
2026/27,16/16,16/16,16/16,16/16,0/16,16/16,16/16,0/16,16/16,16/16,0/16,16/16,16/16,16/16,16/16
