group,outcome,bucket,n,expected_pct,actual_pct,diff_pp,ci_lo_pct,ci_hi_pct,significant
ARG,H,0.30-0.35,813,32.57895384323176,32.84132841328413,0.2623745700523761,29.700327458573632,36.14372357898372,False
ARG,H,0.35-0.40,1017,37.67985302257759,38.64306784660767,0.9632148240300842,35.69843631247427,41.67317550271822,False
ARG,H,0.40-0.45,1106,42.43137191085122,40.77757685352622,-1.653795057324997,37.918114884386895,43.700883718656996,False
ARG,H,0.45-0.50,942,47.45216369236061,50.955414012738856,3.5032503203782484,47.76559134051702,54.13747572694966,True
ARG,H,0.50-0.55,638,52.414203144659176,55.172413793103445,2.7582106484442703,51.293855881657656,58.989055042159066,False
ARG,H,0.55-0.60,450,57.41069102037626,55.77777777777778,-1.6329132425984771,51.15925531613523,60.29848676832772,False
ARG,H,0.60-0.65,232,62.17713676993923,62.06896551724138,-0.10817125269785288,55.67654972189019,68.06820099214839,False
ARG,H,0.65-0.70,129,67.27920149612693,67.44186046511628,0.16265896898934873,58.95288926878659,74.92204147579943,False
ARG,H,0.70-0.75,54,72.3085451628617,70.37037037037037,-1.9381747924913317,57.17217482621142,80.86273430493296,False
ARG,H,0.75-0.80,26,77.29613821852593,88.46153846153845,11.165400243012535,71.02370691310166,95.9968281788505,False
ARG,H,0.80-1.00,8,81.08565816270134,87.5,6.4143418372986645,52.91051942301386,97.75830911367038,False
AUT,H,0.30-0.35,283,32.40321395787002,31.448763250883395,-0.9544507069866315,26.318133159460483,37.07629777384905,False
AUT,H,0.35-0.40,261,37.500360617140686,36.39846743295019,-1.1018931841904944,30.797605653960314,42.39391712795915,False
AUT,H,0.40-0.45,287,42.51854849952103,41.46341463414634,-1.0551338653746911,35.91299370525237,47.23934763793926,False
AUT,H,0.45-0.50,285,47.373170411646775,44.91228070175438,-2.4608897098923888,39.24319166584807,50.71670330772914,False
AUT,H,0.50-0.55,208,52.26489394005029,53.36538461538461,1.1004906753343202,46.58616405452937,60.022547360036995,False
AUT,H,0.55-0.60,209,57.38104746280596,54.54545454545454,-2.835592917351415,47.773377787041085,61.153448547660396,False
AUT,H,0.60-0.65,140,62.47260907946611,62.142857142857146,-0.3297519366089685,53.885390298433286,69.7517216358055,False
AUT,H,0.65-0.70,120,67.5267870982789,64.16666666666667,-3.3601204316122346,55.270369370003934,72.18405628341141,False
AUT,H,0.70-0.75,83,72.40474574210745,74.69879518072288,2.294049438615442,64.39750140305584,82.81489449936879,False
AUT,H,0.75-0.80,77,77.36980611881805,79.22077922077922,1.850973101961173,68.87937633995327,86.78503406261176,False
AUT,H,0.80-1.00,56,84.17761604445778,82.14285714285714,-2.0347589016006418,70.15856902425105,90.00025025865583,False
B1,H,0.30-0.35,411,32.55319001061785,31.143552311435524,-1.4096376991823256,26.8584827094842,35.77785848677,False
B1,H,0.35-0.40,440,37.39825074427733,34.31818181818182,-3.0800689260955085,30.03483453113879,38.872992044828855,False
B1,H,0.40-0.45,459,42.48974796173341,42.0479302832244,-0.44181767850901,37.616202187875594,46.61166324167958,False
