model,threshold_pp,price,n_bets,wins,losses,win_rate,avg_odds,total_stake,total_return,profit,roi_pct,max_drawdown,seasons_profitable,seasons_total
isotonic,2.0,avg,10246,6117,4129,0.5970134686707007,1.8074204567636152,10246.0,10040.13,-205.87,-2.0092719109896544,216.40999999999983,1,5
isotonic,3.0,avg,4746,3345,1401,0.7048040455120101,1.4704825115887064,4746.0,4699.45,-46.55000000000001,-0.9808259587020651,68.65,2,5
isotonic,5.0,avg,874,698,176,0.7986270022883295,1.2571395881006866,874.0,869.12,-4.880000000000001,-0.5583524027459955,15.609999999999998,2,5
isotonic,7.5,avg,15,11,4,0.7333333333333333,1.0786666666666669,15.0,11.84,-3.16,-21.066666666666666,3.3599999999999994,2,4
isotonic,10.0,avg,0,0,0,,,0.0,0.0,0.0,,0.0,0,0
isotonic,2.0,max,10246,6117,4129,0.5970134686707007,1.8713829787234044,10246.0,10362.6,116.6,1.1380050751512785,70.61000000000003,3,5
isotonic,3.0,max,4746,3345,1401,0.7048040455120101,1.514338390223346,4746.0,4831.43,85.42999999999999,1.8000421407501053,34.759999999999806,4,5
isotonic,5.0,max,874,698,176,0.7986270022883295,1.289485125858124,874.0,891.08,17.07999999999999,1.954233409610983,10.70000000000001,4,5
isotonic,7.5,max,15,11,4,0.7333333333333333,1.097333333333333,15.0,12.05,-2.9499999999999993,-19.666666666666664,3.2099999999999995,2,4
isotonic,10.0,max,0,0,0,,,0.0,0.0,0.0,,0.0,0,0
bucket,2.0,avg,10716,5391,5325,0.5030795072788354,2.35251679731243,10716.0,10648.21,-67.79000000000003,-0.6326054497946999,131.29000000000013,2,5
bucket,3.0,avg,3948,2500,1448,0.6332320162107397,1.7649113475177305,3948.0,3972.0,23.99999999999997,0.6079027355623093,40.34999999999999,3,5
bucket,5.0,avg,644,467,177,0.7251552795031055,1.4033695652173912,644.0,645.72,1.7199999999999847,0.2670807453416125,21.279999999999994,4,5
bucket,7.5,avg,22,18,4,0.8181818181818182,1.402727272727273,22.0,25.259999999999998,3.2599999999999993,14.818181818181815,1.0,4,5
bucket,10.0,avg,0,0,0,,,0.0,0.0,0.0,,0.0,0,0
bucket,2.0,max,10716,5391,5325,0.5030795072788354,2.455305151175812,10716.0,11055.98,339.98,3.1726390444195594,73.4399999999998,5,5
bucket,3.0,max,3948,2500,1448,0.6332320162107397,1.8255699088145898,3948.0,4096.09,148.08999999999997,3.751013171225937,25.600000000000023,5,5
bucket,5.0,max,644,467,177,0.7251552795031055,1.4419254658385092,644.0,663.09,19.09,2.9642857142857144,19.26000000000001,4,5
bucket,7.5,max,22,18,4,0.8181818181818182,1.4404545454545452,22.0,25.96,3.96,18.0,1.0,4,5
bucket,10.0,max,0,0,0,,,0.0,0.0,0.0,,0.0,0,0
