outcome,closing_bucket,steam_n,steam_actual_pct,drift_n,drift_actual_pct,diff_pp,z,p_value
away,0.20-0.30,2132,24.43714821763602,4032,23.46230158730159,0.9748466303344305,0.8548622407871425,0.39262741642867227
away,0.30-0.40,2944,35.971467391304344,2479,32.79548204921339,3.1759853420909536,2.4506269175737114,0.014260767791868911
away,0.40-0.50,2092,47.17973231357552,1118,45.97495527728086,1.204777036294663,0.6517777964393191,0.5145445272414082
away,0.50-0.60,1158,56.82210708117444,460,59.56521739130435,-2.743110310129915,-1.0071536073844227,0.31386096326770296
away,0.60-0.70,614,69.38110749185668,234,65.8119658119658,3.569141679890886,0.9992460370913611,0.31767551931612337
away,0.70-0.80,306,78.43137254901961,76,78.94736842105263,-0.5159958720330149,-0.09805683347454203,0.921887164174735
away,0.80-1.00,51,80.3921568627451,4,100.0,-19.6078431372549,-0.9790840946966799,0.327538429798778
home,0.20-0.30,721,25.104022191400833,2230,23.54260089686099,1.5614212945398442,0.8543075478255139,0.3929346062022183
home,0.30-0.40,1954,34.85158648925282,3695,33.7212449255751,1.130341563677717,0.8523852854936257,0.39400028433651757
home,0.40-0.50,3371,45.68377336102047,3004,44.30758988015979,1.376183480860682,1.1024201189711988,0.2702790688527057
home,0.50-0.60,2688,55.84077380952381,1456,54.18956043956044,1.651213369963378,1.0205535163907524,0.3074660220061296
home,0.60-0.70,1524,66.33858267716536,659,66.31259484066769,0.02598783649767622,0.011795170795978449,0.9905890335487999
home,0.70-0.80,704,76.70454545454545,277,78.70036101083032,-1.9958155562848634,-0.6714197111168205,0.501953191475172
home,0.80-1.00,270,85.55555555555556,59,93.22033898305084,-7.664783427495269,-1.5822987342266979,0.11358138957547959
