threshold_pp,price,n_bets,wins,losses,win_rate,avg_odds,total_stake,total_return,profit,roi_pct,max_drawdown,seasons_profitable,seasons_total
2.0,avg,12711,5569,7142,0.4381244591298875,2.5396467626465267,12711.0,12383.74,-327.26000000000005,-2.5746204075210453,380.6699999999999,1,5
3.0,avg,4116,1868,2248,0.45383867832847424,2.3937949465500488,4116.0,3924.42,-191.58000000000004,-4.654518950437319,230.1899999999999,1,5
5.0,avg,188,101,87,0.5372340425531915,2.446968085106383,188.0,222.73000000000002,34.730000000000004,18.473404255319153,6.75,5,5
7.5,avg,2,0,2,0.0,6.555000000000001,2.0,0.0,-2.0,-100.0,2.0,0,2
10.0,avg,0,0,0,,,0.0,0.0,0.0,,0.0,0,0
2.0,max,12711,5569,7142,0.4381244591298875,2.6566721737078125,12711.0,12907.28,196.27999999999997,1.544174337188262,133.04999999999993,4,5
3.0,max,4116,1868,2248,0.45383867832847424,2.49917638483965,4116.0,4083.61,-32.390000000000015,-0.786929057337221,146.56,3,5
5.0,max,188,101,87,0.5372340425531915,2.5580851063829786,188.0,232.12,44.120000000000005,23.46808510638298,6.710000000000001,5,5
7.5,max,2,0,2,0.0,7.375,2.0,0.0,-2.0,-100.0,2.0,0,2
10.0,max,0,0,0,,,0.0,0.0,0.0,,0.0,0,0
